date,team,home,mp.mean,fg.total,fga.total,fg_pct.mean,fg3.total,fg3a.total,fg3_pct.mean,ft.total,fta.total,ft_pct.mean,orb.total,drb.total,trb.total,ast.total,stl.total,blk.total,tov.total,pf.total,pts.total,plus_minus.mean,ts_pct.mean,fg3a_per_fga_pct.mean,fta_per_fga_pct.mean,orb_pct.mean,drb_pct.mean,trb_pct.mean,ast_pct.mean,stl_pct.mean,blk_pct.mean,tov_pct.mean,usg_pct.mean,off_rtg.mean,def_rtg.mean
2017-04-04,Oklahoma City Thunder,1,18.46153846153846,40,84,0.4357692307692308,9,28,0.263,21,25,0.8333333333333334,11,42,53,29,9,7,13,20,110,11.923076923076923,0.543,0.3446153846153846,0.31976923076923075,5.3769230769230765,16.03846153846154,11.46923076923077,13.476923076923077,1.7538461538461538,1.830769230769231,10.353846153846154,20.353846153846153,108.92307692307692,85.92307692307692
2017-04-04,Orlando Magic,0,20,33,86,0.3345,11,33,0.24066666666666667,25,26,0.9791666666666666,11,32,43,23,8,3,14,21,102,-8.333333333333334,0.44383333333333336,0.38175,0.29133333333333333,5.5,17.533333333333335,10.75,14.858333333333334,1.2916666666666667,1.225,9.141666666666666,18.366666666666667,95,126.41666666666667
2017-04-04,Philadelphia 76ers,1,24,43,97,0.4339,12,38,0.33222222222222225,20,27,0.7407777777777778,14,22,36,32,7,4,11,22,118,-11.5,0.5463,0.3932,0.3604,7.13,18.62,10.78,18.89,1.1099999999999999,1.68,8.620000000000001,21.49,116.8,137.3
2017-04-04,Portland Trail Blazers,0,21.81969696969697,33,83,0.4333,6,26,0.26322222222222225,15,17,0.8,7,22,29,10,8,5,7,20,87,-8.636363636363637,0.5744,0.4093,0.2267,4.3545454545454545,17.490909090909092,9.372727272727273,9.00909090909091,1.518181818181818,1.6090909090909091,7.4,16.963636363636365,123.72727272727273,122.18181818181819
2017-04-04,Sacramento Kings,1,30,36,81,0.42375,12,22,0.5118333333333334,14,17,0.8214285714285714,11,40,51,17,11,2,18,10,98,6.875,0.528875,0.26875,0.232125,4.825,16.45,11.025,12.025,2.55,1.3125,17.1625,20.225,102.875,93
2017-04-04,San Antonio Spurs,1,24.09090909090909,35,80,0.4059090909090909,11,21,0.474,14,18,0.775,8,38,46,22,8,6,15,20,95,2.727272727272727,0.4703636363636364,0.2240909090909091,0.29109090909090907,3.272727272727273,13.963636363636363,8.836363636363636,14.945454545454545,1.2818181818181817,1.2181818181818183,16.927272727272726,18.772727272727273,95.36363636363636,95
2017-04-04,Toronto Raptors,0,20,34,76,0.4875,5,23,0.27614285714285713,17,19,0.9134,6,34,40,11,7,5,13,19,90,-7.5,0.5571,0.3143,0.2363,2.791666666666667,12.583333333333334,7.966666666666667,6.875,1.15,1.8583333333333334,13.559999999999999,15.525,86.91666666666667,118.25
2017-04-04,Utah Jazz,1,21.818181818181817,39,74,0.5056363636363637,13,23,0.5185555555555555,15,19,0.8,7,40,47,21,4,6,14,16,106,8.636363636363637,0.5655454545454546,0.4011818181818182,0.39690909090909093,9.718181818181819,14.254545454545454,12.536363636363637,12.01818181818182,0.9363636363636364,1.7,14.136363636363637,20.663636363636364,120.63636363636364,100.0909090909091
2017-04-04,Washington Wizards,1,24,43,85,0.4692,17,34,0.48825,15,18,0.8200000000000001,6,30,36,31,10,3,12,18,118,3.5,0.6022,0.3782,0.2467,3.96,16.02,10.42,16.63,1.5,1.3,11.31,19.78,120.3,118
2017-04-05,Boston Celtics,1,18.462820512820514,33,81,0.36225,7,33,0.2441,18,29,0.5375,8,30,38,21,6,4,12,18,91,-8.846153846153847,0.45775,0.41575,0.5975,2.6846153846153844,14.453846153846154,8.36923076923077,13.107692307692307,2.3846153846153846,2.5923076923076924,8.008333333333333,18.284615384615385,86.23076923076923,118.07692307692308
